Nb de leçons divergentes entre l'édition et témoin :1664
Nb de leçons en commun avec C2 :51
Nb de lieux variants en commun avec C2 :83
Nb de leçons en commun avec C3 :58
Nb de lieux variants en commun avec C3 :81
Nb de leçons en commun avec D :119
Nb de lieux variants en commun avec D :185
Nb de leçons en commun avec E2 :145
Nb de lieux variants en commun avec E2 :241
Nb de leçons en commun avec F2 :205
Nb de lieux variants en commun avec F2 :371
Nb de leçons en commun avec G1 :581
Nb de lieux variants en commun avec G1 :933
Nb de leçons en commun avec M1 :1664
Nb de lieux variants en commun avec M1 :1663

Nb de leçons en commun avec N :1061
Nb de lieux variants en commun avec N :1293

ajout
220
Pourcentage : 13.221153846153847
Nb de leçons en commun avec C2 :1
Nb de lieux variants en commun avec C2 :4

Nb de leçons en commun avec C3 :3
Nb de lieux variants en commun avec C3 :8

Nb de leçons en commun avec D :6
Nb de lieux variants en commun avec D :17

Nb de leçons en commun avec E2 :7
Nb de lieux variants en commun avec E2 :22

Nb de leçons en commun avec F2 :9
Nb de lieux variants en commun avec F2 :32

Nb de leçons en commun avec M1 :220
Nb de lieux variants en commun avec M1 :220

Nb de leçons en commun avec N :114
Nb de lieux variants en commun avec N :172

Lemme 	leçon
si	tres (M1)	1
Por	Et por (G1 M1 N1)	1
joste	encoste (M1)	1
por	Et pour (G1 M1 N1)	1
ainz	ainçois (G1 M1 N1)	1
ensamble o	a toute (M1 N1)	1
dejoste	selonc (M1 N1)	1
qant	et qant (C2 C3 D E2 G1 M1 N1)	1
il	et il (M1)	1
dementieres	tant (M1 N1)	1
q'il	com il (M1 N1)	1
Dont	Et adont (M1)	1
Mes adonc	dont (G1 M1 N1)	1
qe	com (M1)	1
En	A (G1 M1)	1

plur.
14
Pourcentage : 0.8413461538461539
Nb de leçons en commun avec C2 :0
Nb de lieux variants en commun avec C2 :0

Nb de leçons en commun avec C3 :0
Nb de lieux variants en commun avec C3 :0

Nb de leçons en commun avec D :1
Nb de lieux variants en commun avec D :2

Nb de leçons en commun avec E2 :4
Nb de lieux variants en commun avec E2 :5

Nb de leçons en commun avec F2 :2
Nb de lieux variants en commun avec F2 :2

Nb de leçons en commun avec M1 :14
Nb de lieux variants en commun avec M1 :14

Nb de leçons en commun avec N :9
Nb de lieux variants en commun avec N :10

Lemme 	leçon
le tesmoing	les tesmoins (E2 M1)	1
la chose	les choses (G1 M1 N1)	1
sa proiere	ses proieres (G1 M1 N1)	1
tel afere	ces afaires (M1)	1
la vesteüre	les vesteüres (M1 N1)	1
fist	firent (G1 M1)	1
vit	virent (E2 M1)	1
parloit	parloient (M1 N1)	1
devoit	devoient (M1)	1
prestres	prestre (E2 G1 M1 N1)	1
estoit venuz li proioit	estoient venu li prioient (D E2 G1 M1 N1)	1
l'oï	les oï (F2 M1 N1)	1
la	les (F2 G1 M1 N1)	1
vint	vinrent (M1 N1)	1

proPer
17
Pourcentage : 1.0216346153846154
Nb de leçons en commun avec C2 :4
Nb de lieux variants en commun avec C2 :6

Nb de leçons en commun avec C3 :2
Nb de lieux variants en commun avec C3 :3

Nb de leçons en commun avec D :5
Nb de lieux variants en commun avec D :7

Nb de leçons en commun avec E2 :5
Nb de lieux variants en commun avec E2 :7

Nb de leçons en commun avec F2 :5
Nb de lieux variants en commun avec F2 :5

Nb de leçons en commun avec M1 :17
Nb de lieux variants en commun avec M1 :17

Nb de leçons en commun avec N :11
Nb de lieux variants en commun avec N :11

Lemme 	leçon
fu	fu il (G1 M1 N1)	2
qe	qu'il (D M1 N1)	1
proia	proia il (C3 E2 G1 M1)	1
n'i	il n'i (M1)	1
fist	fist il (M1 N1)	1
avint	il avint (M1)	1
auroit	il aroit (M1)	1
poez	poés vos (M1 N1)	1

red.
29
Pourcentage : 1.7427884615384617
Nb de leçons en commun avec C2 :1
Nb de lieux variants en commun avec C2 :3

Nb de leçons en commun avec C3 :1
Nb de lieux variants en commun avec C3 :1

Nb de leçons en commun avec D :1
Nb de lieux variants en commun avec D :4

Nb de leçons en commun avec E2 :1
Nb de lieux variants en commun avec E2 :4

Nb de leçons en commun avec F2 :6
Nb de lieux variants en commun avec F2 :11

Nb de leçons en commun avec M1 :29
Nb de lieux variants en commun avec M1 :29

Nb de leçons en commun avec N :16
Nb de lieux variants en commun avec N :25

Lemme 	leçon
se pleinstrent et gemirent	gemirent (F2 M1 N1)	1
regardast et coneüst	reconneüst (M1 N1)	1
del seint	de (G1 M1)	1
n'avoit se pou non devantde tensdedens sans vie	mort (F2 M1)	1
les griez peines	paine (M1 N1)	1
savoir certeinnement	savoir (M1)	1
sacrez a oés le deable et beneïz	illuec establis (M1)	1
qi a luila apertienentestoientapartenoient	al dyable (M1 N1)	1
et por faire pleinementplenierement les oevres qi a luila apertienentestoientapartenoiental dyable	pour faire les oevres au deale (M1)	1
com tu nos diz et mostresnos mostres en cecel Deu qi tu aeures	en ton Dieu com tu dis et moustres (M1 N1)	1
clinoit plus et pendoit	se clinoit plus (M1)	1
cele grant mervelle de loing	cele merveille (M1)	1
n'i	ne (C2 C3 F2 G1 M1)	1
l'avoit	avoit (D E2 M1 N1)	1
fors tant solement	fors que (M1)	1
arrester et aguetier	arrester (M1 N1)	1
sacree et beneïe	sacree (M1)	1
un de ses iols	son oeil (G1 M1 N1)	1
conmanda et dist	dist (M1 N1)	1
q'ilque par totes lesleur ceailles dea lor freres  qeïssent et cerchassentcerquascent et quesiscent	qu'il queïssent par toutes les maisons de leur freres (M1)	1
la chariole, ce est la coroie	la courroie (F2 M1 N1)	1
Et encontrecontre ce disoit li deables	Li deales li respondoit (M1)	1
la fermeüre desfermer del huis	la serrure desfremer (G1 M1 N1)	1
q'il devoitdeüst morir. devant ce q'il morustsa mort	chou q'il morust le tans q'il devoit morir (M1 N1)	1
qiet mengoient les poissons et les devoroient	et qui devoroient les poissonciax (M1 N1)	1
qi de Poitiers estoient	de Poitiers (F2 G1 M1 N1)	1
qi de Tors estoient	de Tors (F2 G1 M1 N1)	1
ou ilqu'il li	et (G1 M1 N1)	1
Tout ausi	si (G1 M1)	1

sing.
16
Pourcentage : 0.9615384615384616
Nb de leçons en commun avec C2 :0
Nb de lieux variants en commun avec C2 :0

Nb de leçons en commun avec C3 :0
Nb de lieux variants en commun avec C3 :0

Nb de leçons en commun avec D :1
Nb de lieux variants en commun avec D :1

Nb de leçons en commun avec E2 :1
Nb de lieux variants en commun avec E2 :1

Nb de leçons en commun avec F2 :1
Nb de lieux variants en commun avec F2 :2

Nb de leçons en commun avec M1 :16
Nb de lieux variants en commun avec M1 :16

Nb de leçons en commun avec N :11
Nb de lieux variants en commun avec N :12

Lemme 	leçon
estoient	estoit (F2 M1 N1)	2
ont	a (M1)	1
et por les granz torbes	et por le grant torbe (M1 N1)	1
des genz	de gent (E2 M1)	1
les torbes	la torbe (G1 M1 N1)	1
s'asamblerent	s'asembla (G1 M1 N1)	1
les torbes	le torbe (M1)	1
forces	force (G1 M1 N1)	1
a eus	a lui (M1 N1)	1
sa volenté	sa volenté de plusors afaires (M1 N1)	1
formes	forme (G1 M1 N1)	1
cez paroles	ceste parole (M1 N1)	1
les flambes	le flambe (M1)	1
entendez	entende (D M1 N1)	1
les	le (M1)	1

temps
33
Pourcentage : 1.9831730769230769
Nb de leçons en commun avec C2 :0
Nb de lieux variants en commun avec C2 :0

Nb de leçons en commun avec C3 :1
Nb de lieux variants en commun avec C3 :1

Nb de leçons en commun avec D :2
Nb de lieux variants en commun avec D :5

Nb de leçons en commun avec E2 :6
Nb de lieux variants en commun avec E2 :8

Nb de leçons en commun avec F2 :3
Nb de lieux variants en commun avec F2 :5

Nb de leçons en commun avec M1 :33
Nb de lieux variants en commun avec M1 :33

Nb de leçons en commun avec N :23
Nb de lieux variants en commun avec N :25

Lemme 	leçon
est	estoit (E2 M1 N1)	2
avoient fait	faisoient (M1)	1
avoir fait	faire (M1 N1)	1
eüst	avoit (E2 F2 G1 M1 N1)	1
feïst	faisoit (G1 M1)	1
avoient aoré	aoroient (G1 M1 N1)	1
fust	ert (F2 G1 M1)	1
lessoient	lessierent (G1 M1 N1)	1
avoit a lui envoiez	envoioit a lui (M1 N1)	1
porent	pooient (M1 N1)	1
doivent	devoient (E2 M1 N1)	1
devint	fu devenus (M1 N1)	1
beneïs	beneïsses (G1 M1)	1
vout	voloit (C3 D E2 G1 M1 N1)	1
avenoit	avenist (M1 N1)	1
oï	ot oï (M1)	1
aeuroient	aorent (M1)	1
tesmoignoient	tesmoignent (E2 M1 N1)	1
menti	mentoit (M1 N1)	1
aporterent	aportoient (M1 N1)	1
avoit	avoit eü (M1)	1
vousist	vouloit (G1 M1)	1
voudroit	vielt (M1 N1)	1
demenoient	demenerent (M1 N1)	1
fu	est (M1)	1
et esleeciez	et si avés esté esleechié (M1 N1)	1
di	ai dit (M1 N1)	1
ooit	oï (M1 N1)	1
entendoit	entendi (M1 N1)	1
est trespassee	trespasse (G1 M1)	1
je	j'ai (D E2 F2 M1 N1)	1
m'esvellastes	m'avez esveillié (G1 M1 N1)	1



lacuna
3
Pourcentage : 0.18028846153846154
Nb de leçons en commun avec C2 :0
Nb de lieux variants en commun avec C2 :0

Nb de leçons en commun avec C3 :0
Nb de lieux variants en commun avec C3 :0

Nb de leçons en commun avec D :0
Nb de lieux variants en commun avec D :0

Nb de leçons en commun avec E2 :0
Nb de lieux variants en commun avec E2 :0

Nb de leçons en commun avec G1 :0
Nb de lieux variants en commun avec G1 :0

Nb de leçons en commun avec M1 :3
Nb de lieux variants en commun avec M1 :3

Nb de leçons en commun avec N :3
Nb de lieux variants en commun avec N :3

Lemme 
Ci conmence
                  la translation del cors seint
                    Martin Evesque. Aprés ce qe li seinz hommessires saint Martin dontde qui je vos ai contéconté et dit la vie fu trespassez de cest mortel siecle .lxiiii..xiiii. anz tout droitement fuAprés fu eslevezesleuz aen archevesqes estre arcevesquesde Tors uns seinz hom. et de bone vie qi PerpetuusPropetuus estoit apelez par non. Qant il fu en la dignité et en la signorie, il porpensase porpenssa a fere sor le cors seint Martinde seint Martinmonseigneur saint Martin plus haute eglisse et plus bele. q'ele n'i estoit faite. Cesi la fist il par molt grant estude. et molt en aurions a parler conment
                      l'oevre fu parfaite et consomeeachevee, se nous a plus haute chose
                    raconter et dire: n'avions proposé a metre
                    nostre ententemolt grant et molt haute et molt bele. Qant ele fu toute parfete et consomee, li seinz archevesqes manda toz les voisins evesqesevesqes voisins et toz les abbés et les prestresprelas et les clersl'autre clergié de la contree por l'eglisse dedier et beneïrbeneistre et por le cors de saint Martin oster de la ou il estoit enfoïzde la ou il estoit enfouiz oster et metre en autre leu
                  a grant honeur, aet a grant joie et a grant segnoriegranz seignories si com droiz estoit. Et por cepour ce que voloit li bons archevesqesli bons evesques vouloit qe ceste translationchose fust fete le jor des premieres kalendes de juignetjuing. Il veillierent la nuit devant. et qant vint laa la matineelendemain vint, il conmencierent a foïr la terre qi estoitest dit deseur le sarqusaint sarqueul, et puis si misent lorles meins tot entor por leverlaverpor lever tot entor lelei amont et por remuer lelaiesmouvoir plus haut. Mes onqesainz ne sorentse sorent tant pener ne traveilliertravaillier ne esforcier q'il le peüssent removoirremuer en nule maniereen nule maniere du monde. DontEt dontAdonc furent molt dolenz et si lessierent trespasser le jorle jour passer tresq'adusq'ajusques a la nuit qi venoit. EtEn cele meïsme nuit revellierentveillierent iltravaillierent toute tresq'adusq'ajusques a la matinee. DoncAdonc si ressaierentessaierent s'il poroient le seint cors atot le sarqu removoirleverremuer nena amont treireamont trere, mes neant ne leur valutamont traire, mais riens ne leur valut. LorsDont furent molt dolenztriste et molt espoentez, carpar ce que il ne le pooient movoirremouvoir neetn'il ne savoient q'il en peüssent
                fere. Dont parla uns des clers qide cels qi lailec estoientestoit et si dist : DontEt ne savez vos, beausbeaubien signors, qe tresq'a tierz jordedens .iii. joursdusques a tiers jour seraest la feste del jorle jour de la feste q'il reçut l'arcevesqiéle veschié, et ceste feste avoit il acostumé
                  a feire. ParEt par aventure tresq'a ce jordusques a cel jour. ne velt il c'on le remueveremut. Li evesqearchevesques et li clergiés qi la estoient assembleztuit li autre clergié: s'asistrents'asentirentse tinrent a ces paroles, si i furent tresq'au tierz jordusqu'au tiers jourjusques au tierstresqu'au tiers jour et furent en jeunesymnes et en orisons et en vegileset en proieres et en vigiles.	1
Et qant vint au qarttierz jor, il s'aprochierents'aprochierent tuit au sarqu ou li corsli cors saint gisoit del seint home, si i mistrent toz les meins por removoirremuer lelesesmouvoir et por leverrelever le, mes il ne porent. QuantEt quant il virent ce, siil furent toz espoentez: neet ne sorent q'il peüssent feire, et tant qu'il se porpenserent q'il recoverroient de terre la sepouture q'il avoient descoverte. Si comLa ou il estoient en cele doutance, uns vielz hom de mout grant beauté, aussi blans conme nois negie, s'aparut a els. et il li demanderent qi ilq'il estoit: et il lor distrespondi q'ilqui il estoit uns abbes. et puis si parla et lor distleur dist tiex paroles : Por qoi atargiezacouchiez vos. et por qoi estes vos maladesdolent et sitristre ? DontEt ne veez vous seint
                    Martin qi vos vient aidier. a ceste chose se voz i volez les meins metre ?  Dont osta li blans hom qi lailec estoit venuz s'afubleüresa vesteüre. et li prestretuit li prestre aussi qi la estoient et li vesqeet li evesque et li prestre qui la estoient, et les seintes reliqes et les croiz
                      et .vii. cierges i furent aportez tos ardanzqui avoit aportees les croiz et les saintes reliques et .vii. cierges ardans. Dont conmencierent l'anteveneune anthiene a chanter. et si leverent le sarqu del seint home en haut molt legierement. par l'aïde del viel home, si l'emporterentle porterent et misentle mistrent elen un leu ou il estoitest aorezestoit aorez et est encorea esté tresq'a hui cest jorjusques a ores. Et qant il fu mis et assis en son lieutornez et conreez a la volenté de l'evesqe qi Perpetuus avoit nondu saint archevesque qui propetuus estoit apelez. et et qantla messe fu chantee. et il se furent assamblé por mengier ensambleensemble pour mengier si com il estoit costumeacoustuméensemble si conme il estoit costume pour mengier adonqes, il manderentdemanderent le viel home qi aidié lor avoit, mes il n'enne le troverent mie. neet il n'estoit la nus homnuln'i ot celui qi l'eüst veüne l'avoit veü issir de l'eglisse. 	1
Por ce croi jecrei je biencroi je veraiement qe ce fu aucuns angeles qi por le seint hom s'aparut ilueqess'apparut pour le saint home ilec voiant touz cels qui
                    y estoient, et sine ne s'aparut onqes puisplus a nul d'eus de cels de l'eglissequi en l'eglise estoient. Et en icelcest leu ou li cors del seint home fu mis avindrentvindrent tres ce jor enet avant meint beau miracle. qi par negligence sont lessié en escripture a metrea metre en escripture. MesEt nos en avons conté et dit: ce qe nos en avons en nostre tens veüveïsmes en noz tans: et qeet ce que nos en oïmesavons oï conter par autruipar autres conter: et ce qe nos en deümesdevons veraiement croire. para l'aïde nostre Signorde nostre Seigneur. qi vit et regne par tos les siecles des sieclesdes siecles sanz finsanz fin. Amen.	1


om.
337
Pourcentage : 20.252403846153847
Nb de leçons en commun avec C2 :20
Nb de lieux variants en commun avec C2 :25

Nb de leçons en commun avec C3 :26
Nb de lieux variants en commun avec C3 :27

Nb de leçons en commun avec D :51
Nb de lieux variants en commun avec D :59

Nb de leçons en commun avec E2 :50
Nb de lieux variants en commun avec E2 :64

Nb de leçons en commun avec G1 :175
Nb de lieux variants en commun avec G1 :189

Nb de leçons en commun avec M1 :337
Nb de lieux variants en commun avec M1 :337

Nb de leçons en commun avec N :258
Nb de lieux variants en commun avec N :263

Lemme 
et 	21
si	19
il	11
Et	10
a	8
i	8
la	7
de	7
li	7
en	7
molt	5
ce	5
se	5
mie	4
ne	4
meïsmes	4
qe	3
ensamble	3
Jesu Crist	3
grant	3
les	2
aprés	2
ja	2
et	2
a lui	2
le	2
Un autre miracle	2
tout	2
fors	2
tres	2
mout	2
por	2
devant	2
seinz	2
totes	1
com	1
et bone volenté	1
par ce	1
tuit	1
volentiers	1
Et 	1
l'amor	1
le jor	1
et besoigneus estoient	1
qui venoit derrieresderrains	1
n'autre rienchose	1
seinz	1
Jesu Criz	1
l'oevre de	1
cil	1
qiqu'il ne voloitvolt mie	1
et seisi	1
ou	1
est	1
et a la vraie creance	1
Seinz
                  Martins	1
le cors de	1
en croiz	1
fu	1
qi en la contree estoient	1
et li evesqe.	1
trop	1
amor	1
autre chose. 	1
voie meïsmes	1
einz	1
n'	1
en nule maniere	1
en abstinence	1
lor deliz d'endroitaese de lor cors	1
com il	1
mon signeur	1
seculer	1
Miracles de seint Martin	1
et mout bien atornee	1
li seinz hom	1
s'	1
Si com seinz Martins resuscita un
              mort	1
et s'estut	1
tantl'espasse qe l'en peüst avoirestre alé	1
cil q'il avoitavoient encontrez	1
et esmervelloients'esmerveilloient	1
qant il vout	1
pleinement	1
de toz cels qi la estoient	1
lor	1
un pou loing	1
et esperdu	1
et lor proieres	1
dedes crestiens et autieus	1
Si com il ardi un templeun temple de paiens	1
estoient	1
la loy	1
q'il	1
et sauvee	1
Si com il abati un temple	1
s'en	1
li evesqes	1
evesqe	1
et maumis	1
et cheïil chaï	1
en tel maniere	1
environ li	1
a dire	1
en li	1
qi fust sisipas dignes	1
les signes deet	1
 si	1
a crier	1
le seint home	1
par la volenté de nostre SignorDieu	1
lor valors	1
Si com il delivra le serjant au conselle	1
en sa meson	1
et crioit	1
meintenant	1
bones	1
Si com il chaça le deable hors d'une
              meson	1
 l'entree de	1
tout ardant	1
Uns miracles de seint Martin	1
qui leur disoient (#C2 #D #E2 #F2)	1
plus	1
et fors de doutance	1
Uns autres miracles	1
encor	1
Mes	1
Uns autres miracles	1
en nule maniere	1
par	1
mondee de	1
cruele	1
ensamble oensamble avecensemble o luiet mena aveques luia toute sa fille	1
par lui	1
Si com il rendi a un home son oel 	1
Si com il cheï del cenailldou cheval	1
li empereres	1
de Rome	1
genz	1
ce estoit	1
fete	1
aussi	1
l'en	1
si com il est encore en us et en costume	1
conté	1
si tost	1
tost	1
ne en nule forme	1
tant	1
et ceste oevre	1
aen la voie	1
as freresmoinnes	1
oïr	1
vos	1
une autre foiz par lui	1
ne ne devoit avoir de nostre Signor nule
                    indulgense	1
ensamble o lui	1
l'	1
aloientalerent entre lui et Deu: et 	1
d'une resplendissant porpre	1
qe cilil avoit vestue	1
entre eus	1
estre	1
deable	1
mes meins	1
je	1
encontre	1
nos	1
vilenie et 	1
lile escondeïsse ne	1
en tot	1
beau	1
lassez de la voie	1
envers nostre Signor Jesu Crist	1
hors	1
del cors	1
mortel	1
nostre Signor	1
si dist	1
et faire	1
estre ena	1
toz tens	1
aler a nostre Seignor	1
venuz et 	1
li Poitevin	1
et une grant dissention	1
et doivent	1
seul	1
enversdevant nos	1
de ce	1
deet de grant maniere	1
et entendoit	1
et la joie	1
un pou	1
et tristres	1
li arcevesqes	1
meïsme	1
trestot	1
Ci conmence la translation del corsmonseigneur seint Martin evesque	1



Leçons d'ordre sémantique (633)
Pourcentage : 38.04086538461539
Nb de leçons en commun avec C2 :21
Nb de lieux variants en commun avec C2 :35

Nb de leçons en commun avec C3 :20
Nb de lieux variants en commun avec C3 :33

Nb de leçons en commun avec D :35
Nb de lieux variants en commun avec D:63

Nb de leçons en commun avec E2 :44
Nb de lieux variants en commun avec E2:80

Nb de leçons en commun avec G1 :187
Nb de lieux variants en commun avec G1 :363

Nb de leçons en commun avec M1 :633
Nb de lieux variants en commun avec M1 :633

Nb de leçons en commun avec N :408
Nb de lieux variants en commun avec N :505

Lemme 	Leçon
i	il (G1 M1 N1)	9
non	ne (M1 N1)	7
son	le (G1 M1 N1)	5
ne	de (M1 N1)	4
trestoz	si (G1 M1 N1)	4
le	li (M1)	4
q'il	qui (M1)	4
soi	lui (G1 M1)	3
deguerpir	guerpir (C2 G1 M1 N1)	3
une	cele (M1)	3
ore	encore (M1)	3
trestoz	touz (F2 G1 M1 N1)	3
si	et si (M1 N1)	3
Maximiens	Maximes (C3 G1 M1)	3
cil qi	qu'il (G1 M1 N1)	2
nostre Signor	de Dieu (F2 M1 N1)	2
il	li sains hom (M1 N1)	2
ceaille	loge (M1)	2
trestuit	tuit (G1 M1 N1)	2
ou	on (M1)	2
bien	riens (M1 N1)	2
seinz Martins	li saint hom (G1 M1 N1)	2
en tel maniere	ainssi (M1 N1)	2
de	des (C2 C3 D E2 F2 M1 N1)	2
fole	males (M1)	2
sa celle	son habitacle (M1)	2
estoit trespassépassez	avoit (G1 M1 N1)	2
vraie	sainte (G1 M1)	2
enemis	deables (G1 M1 N1)	2
hauz cuenshomes	plusors (G1 M1 N1)	2
les	ches (M1 N1)	2
grant	bone (M1 N1)	2
en la compaignie au	avec le (G1 M1 N1)	2
a l'anemi	au deable (G1 M1 N1)	2
apelez	apelez par non (G1 M1 N1)	2
Anatolius	Natholius (M1 N1)	2
ce	cil (M1)	2
grant piece le tens	devant (M1)	2
environ	entor (M1)	2
De .seint. Martin	C'est la vie de saint Martin vesque (M1)	1
es escriptures (#C2 #C3 #D #F2)	escrites (M1)	1
vies	vivant (M1 N1)	1
poindera	prendra (D E2 G1 M1)	1
aisé	assasé (M1)	1
deables	anemi (M1 N1)	1
et pris	et loiés (M1 N1)	1
q'il les enmeine	qui les enmeine (C3 E2 G1 M1 N1)	1
tormenz	martires (M1 N1)	1
A ce regarderentregarda	a ce pristrent garde (G1 M1 N1)	1
et 	meesmement (M1)	1
dont ci comence la vie	dont je vos conterai ichi la vie (M1)	1
Ysabbarie	Ysapharie (E2 F2 G1 M1 N1)	1
l'en detint et retraist	le detint et fist atargier (M1 N1)	1
docement	devotement (M1 N1)	1
enfanz avoient: chevaliers les
                feïssent.	avoient les enfans en feïssent chevaliers (M1)	1
folie	felonnie (G1 M1 N1)	1
. et douçour. et pitiébonté. et 	douce et debonaire et (M1)	1
l'umanité	l'umilité humainne (M1 N1)	1
si ert il si douz et si pius	si ert il dolz et pius (C3 D E2 M1 N1)	1
resembloit	sambloit (F2 G1 M1 N1)	1
signorie et reverence	amor et seignorie (M1 N1)	1
ne por qant	et ensivoit (G1 M1 N1)	1
revestoit	vestoit (G1 M1 N1)	1
mestier	soffraite et besoing (M1)	1
ores	al jour d'ui (M1)	1
parvindrent	vindrent (E2 F2 G1 M1 N1)	1
a proieret a proier et a rover	a demander et a requerre (M1)	1
trestuit	tres dont (M1)	1
aucune chose	del sien por s'amor aucune cose (M1 N1)	1
moitié	partie (M1 N1)	1
partie	moitié (E2 M1 N1)	1
pluiseur	auquant (M1 N1)	1
beneoiz	bons (M1 N1)	1
au povre home	au povre (M1)	1
vesteüre	affubleüre (M1)	1
devant diteoïe et dite	dite avant (M1 N1)	1
en coi	dont (M1 N1)	1
la bonté	le bon amor (M1)	1
en cui compaignie il estoit venuz	avec qui il estoit venus en conpaignie (G1 M1 N1)	1
Endementieres	Entre ces choses (G1 M1 N1)	1
contree	terre (F2 G1 M1 N1)	1
la terre	la contree (M1 N1)	1
estoit costume	estoit acostumé (C2 D E2 F2 M1)	1
droiture	drois (M1 N1)	1
dons	deniers (M1 N1)	1
de corroz et d'ire	d'ire et de maltalent (M1)	1
molt hardiement seinz Martins	sains Martins sans doutance et sans paor (M1 N1)	1
ma	ta (G1 M1 N1)	1
trespercerai. et trespasserai	trespercherai et passerai (M1)	1
por ce 	pour ce qu'il vouloit (G1 M1 N1)	1
alast desarmez ena la bataille	n'alast a la bataille tos desarmés se ele eüst esté (M1 N1)	1
il vout qe la pes fust ensi faite	ja soit che cose que le pais fust ainssi faite par se volenté (M1 N1)	1
en avision	une vision (M1)	1
il entresait s'en iroit	que otroier li convenoit (M1 N1)	1
erranment	errant (M1)	1
deguerpissoit	se partoit de (M1 N1)	1
de diversitez	d'aversitez (F2 G1 M1 N1)	1
venist	parvenist (M1)	1
gaitoient	agaitoient (G1 M1 N1)	1
vindrent	parvindrent (M1 N1)	1
une coignie	une cuignie qu'il tenoit (M1)	1
prist	aert (M1 N1)	1
comanderent	carquerent (M1 N1)	1
l'enmena	le mena (D F2 M1)	1
liu trestornédestorné	liu destolu (M1 N1)	1
ensus	loing (M1 N1)	1
heitiement	hartiement et dist (M1)	1
seürs	seürement (M1)	1
orast	priast (F2 M1)	1
tote sa voie	tout son chemin (G1 M1 N1)	1
trespassé	passé (C2 C3 D E2 F2 G1 M1 N1)	1
son chemin	mi sa voie (G1 M1 N1)	1
dist	respondi (M1 N1)	1
cestce ver del Sautier	chest ver qi est el psaltier (M1)	1
deables	anemis (M1 N1)	1
ensivoient	menoient (M1)	1
s'en revintvint adonc	Lors s'en revint messires sains Martins (M1 N1)	1
lonc	grant (M1 N1)	1
departiz	partiz (G1 M1 N1)	1
creanz	en creance (G1 M1)	1
repairiez	revenus (M1)	1
soudainement	si soudainnement (M1 N1)	1
la cheaille	la loge (M1)	1
environ	tout entour (G1 M1 N1)	1
seint	beneoit (M1 N1)	1
la dedenz	laiens (G1 M1 N1)	1
se movoient	li movoient (M1 N1)	1
les	ses (M1)	1
oïrent	virent (M1)	1
defors	par dehors (M1 N1)	1
la ceaille	le loge (M1)	1
cui il	et qu'il (M1)	1
rot	ot (C2 C3 D E2 F2 G1 M1 N1)	1
premerains	premiers (M1 N1)	1
si com	avint que (M1)	1
oï	i oï (M1)	1
de plor et de cri	grant plour et grant noise (M1 N1)	1
si estoit	s'estoit (C2 C3 D E2 F2 G1 M1 N1)	1
et tolue la vie	courant (M1 N1)	1
gisoit morz	gisoit qui estoit mors (M1)	1
issir toz cels qi en l'ostel estoient hors	issir hors tous ciax qui en la maison estoient (M1)	1
avoit esté	gisoit (M1 N1)	1
estant	en son estant (M1)	1
porche	porte (M1 N1)	1
le voloient cil de Tours	avint que cil de Tours le voloient (M1)	1
Rurtius	Ratticius (M1 N1)	1
avoit non	avoit a non (C2 M1 N1)	1
qi a sa feme iert prise	qui tenoit se feme (M1 N1)	1
venir	aler (G1 M1 N1)	1
de Tors	de la (G1 M1 N1)	1
de l'eveschié	des evesques (M1 N1)	1
laidement	vilment (M1 N1)	1
vileinement	laidement (G1 M1 N1)	1
de povre persone	povre persone avoit en lui (M1 N1)	1
nostre Sires	Dex (M1 N1)	1
meint	tant (M1 N1)	1
et en abitl'abit de moigne	ainz (G1 M1 N1)	1
il l'eveschié	le seignorie del evesquié en abit de moine (M1 N1)	1
vousist	desirroit (G1 M1 N1)	1
avoir	a avoir (M1 N1)	1
de l'autre	d'autre (M1 N1)	1
tresq'a	dusqu'a (F2 G1 M1 N1)	1
d'	par (F2 G1 M1 N1)	1
l'amoient	amoient lui (D E2 N1 G1 M1)	1
freres	desciples (G1 M1 N1)	1
fors seulement d'enescritures	fors tant seulement des escritures (M1 N1)	1
erent	s'en atenoient (G1 M1)	1
conmant	conmandement (M1 N1)	1
et si erentfurent	li ancien estoient (G1 M1 N1)	1
de sa ceaille	hors de son habitacle (M1)	1
s'assembloient	assambloient emsamble (M1)	1
manoient	manjoient (F2 G1 M1 N1)	1
poil	soies (C3 M1 N1)	1
avoit ensamble oavec eus	entreuls avoit (G1 M1 N1)	1
molt eüssentfeïssentfesoient bienbien feïssent al siecle lor volentez	avoient bien pooir d'avoir au siecle lor volentés et lor aises de lors
                cors acomplis (M1)	1
pluiseur	auqant (M1 N1)	1
des	d'eus (C2 D E2 M1 N1)	1
covoitast	covoitast et desirrast (M1)	1
le dïent	di je (M1 N1)	1
finir	morir (M1 N1)	1
empriés	aprés (E2 F2 G1 M1)	1
de seint Martin	de mon segneur saint Martin (M1 N1)	1
pasteur	mestre (G1 M1 N1)	1
Si	ou (G1 M1 N1)	1
veü meintes foiz	souventes fois veü (M1 N1)	1
une eglyse	l'eglise (M1 N1)	1
en ii en eüst pluiseurs autres	i en geüst d'autres (M1)	1
et sanz doutance	certainement et sans doutance (M1)	1
creature reson	certaineté (G1 M1 N1)	1
de son	du (G1 M1 N1)	1
