Nb de leçons divergente entre l'édition et témoin :1999
Nb de leçons en commun avec G1 :548
Nb de lieux variants en commun avec G1 :961
Nb de leçons en commun avec M1 :1021
Nb de lieux variants en commun avec M1 :1263

ajout
155
Pourcentage : 7.753876938469234
Nb de leçons en commun avec G1 :35
Nb de lieux variants en commun avec G1 :93

Nb de leçons en commun avec M1 :60
Nb de lieux variants en commun avec M1 :109

Lemme 	leçon
                chose estoit einsint avenue. QantEt quant li messages vint
                  a la cité de Tors, il enquist la chose par grant diligenseentente, si sot et entendi bien par les preudomes de la cité q'a cele hore tout droit. qecom seinz Sevrins l'arcevesqes de Coloigne ot lesle voiz oïes des angles, estoit seinz Martinset que saint Martin estoit trespassés de ceste mortel vie. 	1
meïsme	1
ou de .iii..iiii.	1
trestot	1
mout s'en esmervellierent, si	1
et l'eure	1
et la mere nostre Signor Jesu Cristma Dame sainte Mariela haute Dame me Dame sainte Marie qi roïne est de tote creature	1
Ci conmence la translation del corsmonseigneur seint Martin evesque	1
Ci conmence
                  la translation del cors seint
                    Martin Evesque. Aprés ce qe li seinz hommessires saint Martin dontde qui je vos ai contéconté et dit la vie fu trespassez de cest mortel
                  siecle .lxiiii. anz tout droitement fuAprés fu eslevezesleuz a archevesqes estre arcevesquesde Tors uns seinz hom. et de bone vie qi PerpetuusPropetuus estoit apelez par non. Qant il fu en la
                dignité et en la signorie, il porpensase porpenssa a fere sor le cors seint Martinde seint Martinmonseigneur saint Martin plus haute eglisse et plus bele. q'ele n'i estoit
                faite. Ce fist il par molt grant estude. et molt en aurions a parler conment
                  l'oevre fu parfaite et consomeeachevee, se nous a plus haute chose raconter
                  et dire: n'avions proposé a metre
                nostre entente. Qant ele fu toute parfete et consomee, li seinz archevesqes manda toz les voisins evesqesevesqes voisins et toz les abbés et les prestresprelas et les clers de la contree por l'eglisse dedier
                et beneïr et por le cors de saint Martin oster de la ou il estoit enfoïzde la ou il estoit enfouiz oster et metre en autre leu
                  a grant honeur,  aet a grant joie et a grant segnoriegranz seignories si com droiz estoit.  Et por cepour ce que voloit li bons archevesqesli bons evesques vouloit qe ceste translation fust fete le jor des premieres kalendes
                de juignetjuing. Il veillierent la nuit devant. et qant vint laa la matinee, il conmencierent a foïr la terre qi estoitest dit deseur le sarqusaint sarqueul, et puis si misent lorles meins tot entor por leverlaverpor lever tot entor le amont et por remuer leesmouvoir plus haut. Mes onqesainz ne sorentse sorent tant pener ne traveilliertravaillier ne esforcier q'il le peüssent removoir en nule maniere. DontAdonc furent molt dolenz et si lessierent trespasser le jor tresq'a la nuitjusques a la nuit qi venoit. Et cele meïsme nuit revellierent  iltravaillierent toute tresq'a la matineejusques a la matinee. DoncAdonc si ressaierentessaierent s'il poroient le seint cors atot le sarqu removoir nena amont treirelever ne remouvoir ne amont traire. LorsDont furent molt dolenztriste et molt espoentez, car il
                ne le pooient movoirremouvoir nen'il ne savoient q'il en peüssent
                fere. Dont parla uns des clers qide cels qi lailec estoient et si dist : DontEt ne savez vos, beausbeaubien signors, qe tresq'a tierz jordusques a tiers jour seraest la feste del jorle jour de la feste q'il reçut l'arcevesqiéle veschié, et ceste feste avoit il acostumé
                  a feire. ParEt par aventure tresq'a ce jordusques a cel jour. ne velt il c'on le remueve. Li evesqearchevesques et li clergiés qi la estoient assembleztuit li autre clergié: s'asistrents'asentirent a ces paroles, si i furent tresq'au tierz jorjusques au tiers en jeunes et en orisons et en vegiles.	1
Et qant vint au qarttierz jor, il s'aprochierents'aprochierent tuit au sarqu ou li corsli cors saint gisoit del seint home, si i mistrent toz les meins por removoir leesmouvoir et por lever lerelever, mes il ne porent. QuantEt quant il virent ce, siil furent toz espoentez: ne ne sorent q'il peüssent feire, et tant qu'il se porpenserent q'il recoverroient de terre la sepouture q'il avoient descoverte. Si comLa ou il estoient en cele doutance, uns vielz hom
                de mout grant beauté, aussi
                blans conme nois negie, s'aparut
                  a els. et il li
                demanderent qi ilq'il estoit: et il
                lor distrespondi q'il estoit uns abbes. et puis si parla et lor distleur dist tiex paroles : Por qoi atargiezacouchiez vos. et por qoi estes vos maladesdolent et tristre ? DontEt ne veez vous seint
                    Martin qi vos vient aidier. a ceste chose se voz i volez les meins metre ?  Dont
                osta li blans hom qi lailec estoit venuz s'afubleüresa vesteüre. et li prestretuit li prestre aussi qi la estoient et li vesqe, et les seintes reliqes et les croiz
                      et .vii. cierges i furent aportez tos ardanzqui avoit aportees les croiz et les saintes reliques et .vii. cierges ardans. Dont conmencierent l'anteveneune anthiene a chanter. et si leverent le sarqu del seint home en haut molt
                  legierement. par l'aïde del viel home, si l'emporterent et misent elen un leu ou il estoit aoreza esté  tresq'a hui cest jorjusques a ores. Et qant il fu mis et assis en son lieutornez et conreez a la volenté de l'evesqe qi Perpetuus avoit nondu saint archevesque qui propetuus estoit apelez. et la messe fu
                  chantee. et il se furent assamblé por mengier ensamble si com il estoit costume adonqes, il manderentdemanderent le viel home qi aidié lor avoit, mes il n'en troverent mie. ne il n'estoit la nus homn'i ot celui qi l'eüst veü issir de l'eglisse. 	1
Por ce croi jecrei je biencroi je veraiement qe ce fu aucuns angeles qi por le seint hom s'aparut ilueqess'apparut pour le saint home ilec voiant touz cels qui
                    y estoient, et sine ne s'aparut onqes puisplus a nul d'eus de cels de l'eglissequi en l'eglise estoient. Et en icelcest leu ou li cors del seint home fu mis avindrentvindrent tres ce jor en avant meint beau miracle. qi par negligence sont lessié en escripture a metrea metre en escripture. Mes nos en
                  avons conté et dit: ce qe nos en avons en nostre tens veüveïsmes en noz tans: et qeet ce que nos en oïmes conter par autruipar autres conter: et ce qe nos
                en deümesdevons veraiement croire. par l'aïde nostre
                  Signor. qi vit et regne par tos les siecles des sieclesdes siecles sanz fin. Amen.	1



Leçons d'ordre sémantique (1076)
Pourcentage : 53.82691345672836
Nb de leçons en commun avec G1 :261
Nb de lieux variants en commun avec G1 :533

Nb de leçons en commun avec M1 :577
Nb de lieux variants en commun avec M1 :722

Lemme 	Leçon
car	que (N)	13
Si	et si (M1 N)	13
ensamble o	avec (G1 M1 N)	13
au	a (N)	12
Si	il (N)	12
trestoz	si (G1 M1 N)	10
si	et (M1 N)	10
Lors	Dont (G1 M1 N)	10
del	de (C2 N)	9
de	pour (G1 N)	8
la	le (C2 C3 G1 M1 N)	8
entor	en (N)	7
cil qi	qu'il (G1 M1 N)	7
non	ne (M1 N)	7
si	li (N)	7
q'il i	qui (N)	5
ou	dist (N)	5
contre	encontre (N)	5
sa	la (N)	5
Si com	La ou (G1 M1 N)	5
envers	vers (M1 N)	4
li	et li (M1 N)	4
si com	la ou (G1 N)	4
l'avoit	avoit (M1 N)	4
prist	traist (N)	3
ert	estoit (M1 N)	3
en coi	dont (M1 N)	3
Adonc	Et dont (M1 N)	3
deguerpir	guerpir (C2 G1 M1 N)	3
et en abiten l'abit de moigne	ainz (G1 M1 N)	3
Si	Et (M1 N)	3
encontre	contre (G1 M1 N)	3
fors	hors (G1 M1 N)	3
ensamble o	ensamble (N)	3
ce	cose (N)	3
Mes	Car (N)	2
eve	aigue (N)	2
parvindrent	vindrent (G1 M1 N)	2
contree	terre (G1 M1 N)	2
departi	parti (N)	2
respondi	li respondi (G1 M1 N)	2
trespassé	passé (C2 C3 G1 M1 N)	2
nostre Signor	de Dieu (M1 N)	2
Li	Et li (M1 N)	2
seinz	saint home (G1 M1 N)	2
trestoz	touz (G1 M1 N)	2
lonc	grant (M1 N)	2
tens	piece (N)	2
creanz	creance (N)	2
mie	encore (M1 N)	2
tresq	dusqu'a (M1 N)	2
borjois	preudom (N)	2
trestuit	tuit (G1 M1 N)	2
d'une part d'	par (G1 M1 N)	2
et nient	nient (M1 N)	2
cuident	doivent (N)	2
la	illuec (N)	2
de son	du (G1 M1 N)	2
bien	riens (M1 N)	2
jusc'a	dusc'a (M1 N)	2
seinz Martins	li saint hom (G1 M1 N)	2
environ	entor (M1 N)	2
qe	com (N)	2
estoit	pooit estre (M1 N)	2
environ	entour (G1 M1 N)	2
covenoit	voloit (M1 N)	2
si com	quant (G1 N)	2
de	por (M1 N)	2
del	al (N)	2
de	des (C2 C3 M1 N)	2
dementieres	entrues (N)	2
pluisors	molt (N)	2
lui	saint Martin (N)	2
pou	petit (N)	2
conceles	provos (M1 N)	2
la	se (N)	2
ensamble lui	avec lui (M1 N)	2
ensamble o	a toute (G1 N)	2
fu	fu il (G1 M1 N)	2
pluiseurs	maintes (N)	2
hauz cuens	plusors (G1 M1 N)	2
Maximiens	Maximes (G1 M1 N)	2
les	ches (M1 N)	2
cel	tel (N)	2
en la compaignie au	avec le (G1 M1 N)	2
a l'anemi	au deable (G1 M1 N)	2
Meintenant	Et tantost (M1 N)	2
tresq'au	dusc'au (M1 N)	2
mout doit on  doucement et volentiers le bien oïr et entendre	Cascuns Crestiens doit bien etendre et volentiers oïr le bien (N)	1
par le  bien savoir et retenir	por le bien oïr et savoir et retenir (M1 N)	1
nest	vient (N)	1
sovent	adiés (N)	1
del	et de (N)	1
en totes lor vies	en tot lour vivant (N)	1
petit avoir fait	petit de bien fait (N)	1
richesces et avoirs	avoir (N)	1
desirrent	covoitent (N)	1
deables	anemi (M1 N)	1
et pris	et loiés (M1 N)	1
q'il les enmeine	qui les enmeine (C3 G1 M1 N)	1
gardent	garderent bien (M1 N)	1
tormenz	martires (M1 N)	1
A ce regarderent	a ce pristrent garde (G1 M1 N)	1
confessors	home confes (N)	1
dont ci comence la vie	dont jou commencerai la vie (N)	1
de la contree de Pannone	de la contree de Ponnone (N)	1
Ysabbarie	Ysapharie (G1 M1 N)	1
s'enfance	enfance (N)	1
covoita molt	conmença (G1 N)	1
l'en detint et retraist	le detint et fist atargier (M1 N)	1
en sa pensee	en pensé (G1 N)	1
docement	devotement (M1 N)	1
enfanz avoient: chevaliers les
                feïssent.	avoient les enfans les fesiscent chevaliers (N)	1
si douz	a la court si dous (N)	1
ne nule folie	de nule felonie (M1 N)	1
. et douçour. et pitié. et 	dolece et piue et (N)	1
l'umanité	l'umilité humainne (M1 N)	1
si ert il si douz et si pius	si ert il dolz et pius (C3 M1 N)	1
resembloit	sambloit (G1 M1 N)	1
signorie et reverence	amor et seignorie (M1 N)	1
si	ensi (N)	1
ne por qant	et ensivoit (G1 M1 N)	1
cels	tous chiaus (M1 N)	1
soffroient	faisoient (N)	1
chetis	cartriers (N)	1
revestoit	vestoit (G1 M1 N)	1
mestier	soffraite et besoigne (N)	1
lendemein	sen demain (N)	1
q'il chevauchierent un jor par la citéchevauchoient par la cité un jourchevalcherent par mi la cité un jor	un jour qu'il trespassa par mi la cité (N)	1
povre 	molt povre (G1 M1 N)	1
a proieret a proier et a rover	a rover et a proier (N)	1
lui passoient	le povre passoient (N)	1
n'avoient fait au povre home nul
                bien	ne li faisoient nul bien (N)	1
donast	li donast (N)	1
aucune chose	del sien por s'amor aucune cose (M1 N)	1
granz	si grande (N)	1
son mantel par mi	le moitié de son mantel (N)	1
moitié	partie (M1 N)	1
partie	moitié (M1 N)	1
Dont	Lors (N)	1
le conmencierent a escharnir	le conmencherent a gaber et a escarnir (M1 N)	1
pluiseur	auquant (M1 N)	1
onqes n'avoient	n'avoient mie (N)	1
avoir fait	faire (M1 N)	1
beneoiz	bons (M1 N)	1
regardast et coneüst	reconneüst (M1 N)	1
il	il meïsme (M1 N)	1
devant dite	dite avant (M1 N)	1
baptiziez	crestienés (N)	1
en cui compaignie il estoit venuz	avec qui il estoit venus en conpaignie (G1 M1 N)	1
Endementieres	Entre ces choses (G1 M1 N)	1
la terre	la contree (M1 N)	1
destruire	gaster (N)	1
estoit costume	estoient acostumé (N)	1
tant	et tant (N)	1
Ne	et ne (N)	1
droiture	drois (M1 N)	1
tresc'a	jusque (G1 N)	1
sueffre	soies seürs (N)	1
soie	voldrai estre (N)	1
nostre Signeur Deu	notre signor (N)	1
dons	deniers (M1 N)	1
de corroz et d'ire	tous de maltalent (N)	1
molt hardiement seinz Martins	sains Martins sans doutance et sans paor (M1 N)	1
ma	ta (G1 M1 N)	1
serai	si serrai (N)	1
por ce	pour ce qu'il vouloit (G1 M1 N)	1
alast desarmez ena la bataille	n'alast a la bataille tos desarmés se ele eüst esté (M1 N)	1
il vout qe la pes fust ensi faite	ja soit che cose que le pais fust ainssi faite par se volenté (M1 N)	1
seinz Martins	mesire sains Martins (M1 N)	1
seinte	boine (N)	1
en avisionune vision unecele nuit	une nuit en volenté (N)	1
Et	Mais (M1 N)	1
il entresait s'en iroit	que otroier li convenoit (M1 N)	1
deguerpissoit	se partoit de (M1 N)	1
de diversitez	d'aversitez (G1 M1 N)	1
gaitoient	agaitoient (G1 M1 N)	1
vindrent	parvindrent (M1 N)	1
vout	cuida (N)	1
prist	aert (M1 N)	1
comanderent	carquerent (M1 N)	1
liu trestorné	liu destolu (M1 N)	1
ensus	loing (M1 N)	1
heitiement	hardiement (N)	1
socoroit	suivroit (N)	1
fiance	nule fiance (N)	1
crut	fu convertis et crei (M1 N)	1
Aprés	Et aprés (G1 M1 N)	1
tote sa voie	tout son chemin (G1 M1 N)	1
son chemin	mi sa voie (G1 M1 N)	1
Seinz Martins	Et sains Martins (N)	1
dist	respondi (M1 N)	1
ou	qe (G1 N)	1
toz tens	touz jourz (G1 N)	1
dist	li dist (N)	1
deables	anemis (M1 N)	1
sauvement	le salveté (N)	1
secce	saiete (N)	1
il	li sains hom (M1 N)	1
q' il avoit	qui avoit (G1 N)	1
s'en revint adonc	Lors s'en revint messires sains Martins (M1 N)	1
arrester	habiter (N)	1
entor	illuec avec (N)	1
annoncier	a Engiers anuncier (N)	1
fermement	en ferme (N)	1
vint	ce vint (N)	1
si ert soudainement morz	et si estoit si soudainnement mors (M1 N)	1
estoit	si estoit (N)	1
environ	tout entour (G1 M1 N)	1
riule	le riule (M1 N)	1
nostre	de nostre (G1 M1 N)	1
seint	beneoit (M1 N)	1
la dedenz	laiens (G1 M1 N)	1
se movoient	li movoient (M1 N)	1
defors	par dehors (M1 N)	1
avoient lessié n'avoit se pou non devantde tens sans vie	avoient orendroit laissié sans vie mort (N)	1
rot	ot (C2 C3 G1 M1 N)	1
premerains	premiers (M1 N)	1
grant noise de plor et de cri	grant plour et grant noise (M1 N)	1
de pleinte	de plainte et de dolour (N)	1
si estoit	s'estoit (C2 C3 G1 M1 N)	1
un laz	une corde (N)	1
d'unedu corde	d'un lac (N)	1
et tolue la vie	courant (M1 N)	1
issir toz cels qi en l'ostel estoient hors	issir hors de l'ostel tous caus qi i estoient (N)	1
avoit esté	gisoit (M1 N)	1
au porche	le porte (M1 N)	1
Rurtius	Ratticius (M1 N)	1
avoit non	avoit a non (C2 M1 N)	1
qi a sa feme iert prise	qui tenoit se feme (M1 N)	1
por	d' (M1 N)	1
venir	aler (G1 M1 N)	1
de Tors tant seulement	de la tant seulement (M1 N)	1
de l'eveschié	des evesques (M1 N)	1
trop laidement	vilment (M1 N)	1
vileinement	laidement (G1 M1 N)	1
de povre persone	povre persone avoit en lui (M1 N)	1
nostre Sires	Dex (M1 N)	1
meint	tant (M1 N)	1
il l'eveschié	le seignorie del evesquié en abit de moine (M1 N)	1
venoient	venoient qu'il ne le pooit souffrir en nule maniere (N)	1
vousist	desirroit (G1 M1 N)	1
avoir	a avoir (M1 N)	1
de l'autre	d'autre (M1 N)	1
plaigne	planete (N)	1
deciple	si desciple (G1 M1 N)	1
fetes lor maisonceles	faisoient lor maisons (N)	1
habitations	habitacles (N)	1
freres	desciples (G1 M1 N)	1
nus	nus d'iaus (M1 N)	1
estoient en communité mises totes lor choses	toutes lor coses erent en communité mises (N)	1
fors seulement d'enescritures	fors tant seulement des escritures (M1 N)	1
ancien	viel (N)	1
conmant	conmandement (M1 N)	1
et si erent	li ancien estoient (G1 M1 N)	1
nus	d'els (C3 G1 N)	1
Tuit manoient ensamble	Tout ensamble mengoient (M1 N)	1
avoit	avoit onques (N)	1
poil	soies (C3 M1 N)	1
por plus (#C2 #C3 #M1)	plus (C1 G1 N)	1
avoit ensamble o eus	entreuls avoit (G1 M1 N)	1
molt eüssentfeïssent bien al siecle lor volentez	mout bien eüscent al siecle lour volentés et lour aaises de lor cors
                acomplies (N)	1
conqerre	aquerre (N)	1
pluiseur	auqant (M1 N)	1
des	d'eus (C2 M1 N)	1
covoitast	couvoitast u desirast (N)	1
evesqe	a evesque (N)	1
tel	cel (N)	1
s'a	fors a (N)	1
veoir	sovent veïr (N)	1
le dïent	di je (M1 N)	1
finir	morir (M1 N)	1
en cest siecle le travail	travail en cest siecle (N)	1
de seint Martin	de mon segneur saint Martin (M1 N)	1
pasteur	mestre (G1 M1 N)	1
Si	ou (G1 M1 N)	1
veü meintes foiz	souventes fois veü (M1 N)	1
une eglyse	l'eglise (M1 N)	1
onques	ains (N)	1
creature reson	certaineté (G1 M1 N)	1
seüst fere	seüst enquerre (N)	1
entendi	oï (N)	1
n'ert	n'avoit (N)	1
mie	entendu (N)	1
certeins	seurement (M1 N)	1
o lui	atout (G1 N)	1
gisoit	estoit enfouis (N)	1
merite	merite il estoit (N)	1
jouste	delés (M1 N)	1
lez et hisdeus et cruel	lait, noir et cruel (N)	1
conmanda	demanda celui (N)	1
et ensamble o	et avec (M1 N)	1
celui parler	çou que cil disoit (N)	1
qi ensamble o lui estoient	devant lui estoient (N)	1
cele fole	fole (M1 N)	1
cele malvese	malvaise (M1 N)	1
aloit	s'en aloit (M1 N)	1
portoit	enportoit (N)	1
de loing qi venoit	que de loins venir (N)	1
se fu arrestez	ot alé (M1 N)	1
tant	l'espasse (N)	1
avoir	estre (N)	1
aperçut	perchut (M1 N)	1
cuida	quida et crut (G1 M1 N)	1
costume	acoustumanche (M1 N)	1
soloient	la souloient (G1 M1 N)	1
France	cel païs (N)	1
comportoient	portoient (G1 M1 N)	1
Por	Et par (N)	1
feïssent	fuscent (N)	1
fist	fist il (M1 N)	1
a terre	jus (N)	1
s'arresterent	arresterent (N)	1
a terre	jus a terre (G1 M1 N)	1
aussint com	et furent (M1 N)	1
Et don	Et lors (N)	1
a esgarder	a regarder (N)	1
se porpensoient	a penser (N)	1
esmervelloient	s'esmerveilloient (N)	1
Ensement	Ainsi (M1 N)	1
vertu	le volenté et par le vertu (M1 N)	1
li hom	li seinz hom (C3 G1 M1 N)	1
et de gent sarrazine	des gens sarrasines (N)	1
comença	conmença a trancier (N)	1
q'il nel trenchast nenane n' abatist	a trancier et a abatre (N)	1
par la volenté de Deu le temple aidié a destruire	souffert par le volenté de Dieu le temple a despechier (M1 N)	1
en tel maniere	ainssi (M1 N)	1
devoit	le devoit (M1 N)	1
des plus  hardiz	qui plus hardis estoit (M1 N)	1
l'oses	le veus (N)	1
vendra trebuchant	venrra trebuschant de grant ravine (M1 N)	1
oï	lor oï (N)	1
en tel liu estoit	en cel liu estoit (M1 N)	1
rieng	nule rien (N)	1
clinoit plus et pendoit	se clinoit et plus pendoit (N)	1
lor arbre a trenchier mout liement. et a grant joie por abatre	par grant amor et par grant joie lour arbre detrencier et abatre (N)	1
comencierent	prisent (M1 N)	1
escroller	crouller (M1 N)	1
avoient	en avoient (M1 N)	1
doutance	doute (G1 M1 N)	1
a venir envers  lui et a cheïr	a caïr vers lui et a caïr (N)	1
estoit granz et pesanz	molt pesoit (M1 N)	1
et de nule rien n'ert sostenue	ne n'iert de nule part soustenus (M1 N)	1
tant pesoit	de grant pesantume estoit (N)	1
pou	un poi (G1 M1 N)	1
el plus seür	en pluseurs (G1 N)	1
se tornerent	s'atornerent (G1 M1 N)	1
fole	mauveses (G1 N)	1
creance	esror (M1 N)	1
seürement	certainement (N)	1
cele	toute cele (N)	1
granz	boines (N)	1
Et en cel leu ou	Et la ou (G1 M1 N)	1
molt ancien	anchien (M1 N)	1
un leu	une voie (G1 M1 N)	1
creoient	creoient mie (M1 N)	1
a plein: et la chaleur desmesureea desmesure	a force et a desmesure (N)	1
a demener	a mener (M1 N)	1
gardoit	garantiscoit (N)	1
tost	molt tost (M1 N)	1
esprise	arse (M1 N)	1
errant	errament (C2 G1 M1 N)	1
pleinement	plenierement (N)	1
peüssiez	ne peüsciés vous (N)	1
de la	d'ilec (G1 N)	1
jeunes	juner (N)	1
Si prioit	Et si prooit (M1 N)	1
celtel temple depecier par sa force	cel temple a forche pechoier (M1 N)	1
Dont	Adont (M1 N)	1
escuz	et escuz (G1 M1 N)	1
chevaus	destriers (M1 N)	1
richement coverz de molt beles covertures	de molt bele faiture (M1 N)	1
desconfeïssent	les desconfesissent (M1 N)	1
depecheroit	deperoit (N)	1
la emplist	l'empreist (M1 N)	1
avoit	l'avoit (N)	1
si debrisa et destruist	si l'abati et debrisa (M1 N)	1
tresqe el fondement	dusc'au fondement (M1 N)	1
tuit li paien	li assamblee des paiens (M1 N)	1
conterai	dirai (N)	1
en us et en costume	a us et a coustume (M1 N)	1
mout de vileinz	une grant torbe de vilains (G1 M1 N)	1
se fist hardi	hardi estoit (M1 N)	1
de toz les autres	des autres (N)	1
encontre	arriere (G1 M1 N)	1
mes il abandona	se li abandona (N)	1
ferir	ferir sus (N)	1
doute	doltance (N)	1
evesqe	home (C2 N)	1
coup	espee (M1 N)	1
q'a poi	si durement qu'a poi (M1 N)	1
pardon	merchi et pardoin (N)	1
Cis	Li (M1 N)	1
miracles qi aprés cestui vientvint	que jou conterai (N)	1
a depecier	a combrisier (M1 N)	1
a destruire	a confondre (M1 N)	1
por lui ferir d'un coutre
                et ocirre	atout un coltre pour lui ferir et ochirre (M1 N)	1
tuer le seint home	pour ferir le saint homme (N)	1
s'esvanui	s'enfui (N)	1
destruire et depecier	confondre et destruire (N)	1
tieus poissance	si grant poiscance (N)	1
estoit en lui	avoit il (M1 N)	1
enfermetez	enferté (N)	1
et curer	par le volenté de nostre Seigneur (M1 N)	1
tuit cil qui  a lui venoient i recevoient
                santé	nus malades ne venoit a lui qui n'eüst mout tost santé recoiuvree (N)	1
palezins avoit	d'enferté de palasine estoit (N)	1
sorprise	si souprise (N)	1
enfermeté	maladie (M1 N)	1
proisme	ami (M1 N)	1
gardoient	atendoient (M1 N)	1
en tel point	en tele maniere (M1 N)	1
molt sovent	et avoit faites (M1 N)	1
aavec lui venoients'assembloient	se tenoient a lui (N)	1
retenir et entendre	entendre et retenir (N)	1
par dolereus martyre muert et perist en langor	muert par dolereuse maniere de langueur (M1 N)	1
ait ele	retiegne ele (M1 N)	1
si	et que tu (M1 N)	1
Au daerrenier	En le fin (M1 N)	1
s'arresterent fors de la porte	dehors le porte arresterent (M1 N)	1
li serz nostre Signor	li ber nostre Seignour (N)	1
conmanda	rouva (M1 N)	1
leva	leva tantost (N)	1
de s'enfermeté et curee	de s'enferté et reçut santé (N)	1
tiesmoigne	li evesque le tesmoignent (N)	1
avoit non	estoit apelez (M1 N)	1
cels	les gens (N)	1
denz	dens eskignes (M1 N)	1
li conceles	li prevos (M1 N)	1
en	a le (N)	1
d'escomenié	del escumeniier (N)	1
encovença	ot en couvent (G1 M1 N)	1
de celui	del cors de chelui (M1 N)	1
le serjant	le vallet (M1 N)	1
toz tens aprés	tous jors puis cel di (N)	1
vint li seinz hom	quant le sains hom vint (M1 N)	1
se departisist de la et 	se partesist de la et (N)	1
se	s'en (G1 N)	1
de la	d'illuec (N)	1
enemis	deables (G1 M1 N)	1
estoit entrez el cors	avoit saisi et pris (N)	1
meson	mesnie (G1 M1 N)	1
sanz poor	sans paour avoir (M1 N)	1
se tenist	fust (G1 M1 N)	1
seint home	preudomme (N)	1
qe se ce fust	com il fesist (N)	1
vit	si vit (N)	1
la dedenz	laienz (G1 M1 N)	1
et ne qe dent	toutevoies (M1 N)	1
cremeur	cremance (M1 N)	1
del cors	fors (N)	1
derriers	dessous (M1 N)	1
de ce fu il mout dolenz	ce fist il molt dolanz (G1 M1 N)	1
choses	oevres et ches coses (M1 N)	1
conmanda	demanda (M1 N)	1
dist	jehi (N)	1
poor	errour (N)	1
doute	doutance (C2 N)	1
creance	errance (G1 M1 N)	1
de l'enemi	del deable (G1 M1 N)	1
affermez en la seinte creance	en ferme creance ne en vraie (G1 N)	1
Mes qant il	Quant il (M1 N)	1
pres que tote et 	et pres tout (N)	1
Qant	Et quant (M1 N)	1
beneï	le beneï (N)	1
il fu	si il (N)	1
graces	graces et loenges (N)	1
la santé q'il avoit receüe	chou qu'il avoit santé recheüe (M1 N)	1
la vie	de la vie (M1 N)	1
avoit non	estoit apelés par non (M1 N)	1
Si	Cil (G1 M1 N)	1
tres cruieus	dolerouse (N)	1
n'en cuidoit	ne quidoit (M1 N)	1
coment	pour quel maniere (G1 M1 N)	1
disoient	devisoient (N)	1
maladie	fievre (N)	1
la poitrine	le piz (G1 M1 N)	1
pucele	damoiseles (G1 N)	1
qi la destreignoit	fors de son cors et ensus de li cachie (M1 N)	1
sa fille	la damoisele (G1 M1 N)	1
par la volenté	par par humilité et par le volenté (N)	1
au a un home son
                oel seint home	a li (G1 M1 N)	1
rien	goute (G1 M1 N)	1
toucha	acolça (N)	1
son oel	a son oel (M1 N)	1
molt	grant pieça (N)	1
lonc tens avoit portee	avoit lonc tans eüe (G1 M1 N)	1
brisierent	froiscierent (N)	1
contreval	qu'il fist contreval (G1 M1 N)	1
mout	tous (M1 N)	1
plus	le plus (N)	1
del chaïement	de keüre (N)	1
raconter	conter (M1 N)	1
puis	pour ce (G1 M1 N)	1
blandissoient	blasmoient (M1 N)	1
les apostres	le maniere des apostres (M1 N)	1
roi	rois de France (N)	1
et 	mes (G1 M1 N)	1
ne li	nel (N)	1
hauz homes	gens (N)	1
Qant	Et qant (M1 N)	1
del empire	ne l'empire (G1 M1 N)	1
chevalier	baron (N)	1
la besoigne	le soig (N)	1
l'avoitavoient	et par sa vie l'avoit (N)	1
en	envers (G1 M1 N)	1
grant	bone (M1 N)	1
nul home	nului (N)	1
la pleniere bataille	pleniere bataille (G1 M1 N)	1
ensamble o lui mengeroit	mengeroit avec lui (G1 M1 N)	1
si grant joie l'en crut	a grant joie (N)	1
qe meintenant manda il	manda il maintenant le saint home. Il manda (M1 N)	1
d'une	une (N)	1
joste	s'assist dalés (N)	1
homes	contes (M1 N)	1
longuement	grant piece (G1 M1 N)	1
premier	primerain (C2 C3 M1 N)	1
pluiseurs	ne sai qans (G1 M1 N)	1
s'agenoilla	conme coustume estoit s'agenolla (M1 N)	1
Li empereres	Et li empereres (M1 N)	1
coumanda	li commanda (N)	1
beü	le coupe recheüe (M1 N)	1
si	et puis (M1 N)	1
bailla la coupe	le bailla (G1 M1 N)	1
venuz ertestoit venuz en sa compaignie	et qui illuec estoit venus avec lui en compaignie (N)	1
la dedenz seoient	la estoient (N)	1
chascuns	on (M1 N)	1
de haute lignie et acompliz de grant richescede haute seignorie et riches	de haute seignorie et de noble lignie et acomblés de grant
                richoise (M1 N)	1
Averont	auront (C2 C3 M1 N)	1
joie	tel joie (C2 M1 N)	1
Tel signorie et tel hautesce	et si grant bien et si grant haultece (N)	1
sauroit	porroit (M1 N)	1
Ja tant ne s'en entremetroit (#C2)	Chertes bon porçachier feroit (M1 N)	1
la venir ne pense	parvenir n'i pense (M1 N)	1
Est	il est (N)	1
certes	entrés (M1 N)	1
doit nestresieut venir li biens	seut li biens venir (N)	1
as ancïens	ne puet fallir (N)	1
environavec lui estoient	al mangier estoient (N)	1
combatre	abatre (N)	1
seüst	che seüst il (M1 N)	1
Valentinien	la Valentinien (N)	1
le	et le (N)	1
raconte	dist et raconte (M1 N)	1
onques	onques si tost (G1 M1 N)	1
asembla	asailli (N)	1
com	tantost com (N)	1
trespassa	passa (G1 M1 N)	1
meintes choses	molt de coses (M1 N)	1
muer	mucier (N)	1
tout plenierement	tout apertement (M1 N)	1
ja tant	ja (G1 M1 N)	1
ne s'i seüst atapir	si ne se seüst gaitier (N)	1
la celle au seint home	sa ciaulle (G1 N)	1
